entry_time,mint,symbol,entry_price_usd,exit_time,exit_price_usd,exit_reason,pnl_percent,pnl_usd,pnl_sol,assumed_position_usd,assumed_position_sol,ret15_percent,ret5_percent,greens_last5,likely_non_fill_reason,confidence,confidence_notes
2026-02-24T06:16:45.877Z,BwUrTqcaoJUVnKTGPZk7k4iiSdTUeFSQKBh7f8rtpump,RIZZTER,0.0001218,2026-02-24T06:32:24.655Z,0.00012173910000000001,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+3.31%,+3.31%,2,momentum gate not live at tick (sampling drift),low,large sample gap prev=16s next=939s
2026-02-24T09:41:39.129Z,GFAnZrFVCEqe4CDrabgANk2u8bik4YAEemMngMA2pump,Gaper,0.00004764,2026-02-24T10:13:03.063Z,0.000066968,trailingStop,+40.57%,8.1142,0.09832998,20.0000,0.24236549,+8.79%,+8.79%,2,momentum gate not live at tick (sampling drift),low,large sample gap prev=20s next=940s
2026-02-24T09:41:39.466Z,2kTe6pJn9d2kANXYmQch16NvzBmA2xpPzJoMFHrwpump,Octpus,0.00001983,2026-02-24T10:28:58.379Z,0.000039459199999999997,trailingStop,+98.99%,19.7975,0.23991128,20.0000,0.24236549,+14.82%,+14.82%,2,momentum gate not live at tick (sampling drift),low,large sample gap prev=20s next=940s
2026-02-24T09:57:39.637Z,2kTe6pJn9d2kANXYmQch16NvzBmA2xpPzJoMFHrwpump,Octpus,0.00004424,2026-02-24T10:28:58.379Z,0.00004421788000000001,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+18.04%,+18.04%,4,momentum gate not live at tick (sampling drift),low,large sample gap prev=20s next=923s
2026-02-24T10:13:23.459Z,CrgunuokrSoXBUiAUaqnWFUHefBgAStqdtQK9jMYpump,Zoe,0.00004297,2026-02-24T10:28:59.724Z,0.000042948515,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+94.88%,+94.88%,2,momentum gate not live at tick (sampling drift),low,large sample gap prev=20s next=936s
2026-02-24T10:29:19.053Z,3reTzfqE1LkGsXFmi3oNtGSsYwnXZs6sPYtQapTvpump,MARIOCOIN,0.000235,2026-02-24T17:28:38.732Z,0.000397496,trailingStop,+69.15%,13.8294,0.16758903,20.0000,0.24236549,+3.62%,+3.62%,3,momentum gate not live at tick (sampling drift),low,large sample gap prev=20s next=929s
2026-02-24T10:29:19.400Z,84yCF7hyUuRNAra9BjFHVDpnRdGXmfsV2emyZwLjpump,house,0.0003593,2026-02-24T10:44:48.708Z,0.00035912035,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+3.07%,+3.07%,3,momentum gate not live at tick (sampling drift),low,large sample gap prev=20s next=929s
2026-02-24T10:45:07.956Z,3reTzfqE1LkGsXFmi3oNtGSsYwnXZs6sPYtQapTvpump,MARIOCOIN,0.0003359,2026-02-24T11:00:48.038Z,0.00033573205,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+8.08%,+8.08%,4,momentum gate not live at tick (sampling drift),low,large sample gap prev=20s next=940s
2026-02-24T10:45:08.380Z,GFAnZrFVCEqe4CDrabgANk2u8bik4YAEemMngMA2pump,Gaper,0.00006601,2026-02-24T11:00:49.810Z,0.000065976995,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+6.01%,+6.01%,2,momentum gate not live at tick (sampling drift),low,large sample gap prev=20s next=941s
2026-02-24T11:01:08.404Z,8jiVXftnn2ZG6bugK7HAH5j2G3D6TpsG521gqsWwpump,AUTISM,0.0005395,2026-02-24T14:10:53.160Z,0.00119152,trailingStop,+120.86%,24.1713,0.29291408,20.0000,0.24236549,+4.17%,+4.17%,3,momentum gate not live at tick (sampling drift),low,large sample gap prev=20s next=937s
2026-02-24T11:17:07.100Z,J8PSdNP3QewKq2Z1JJJFDMaqF7KcaiJhR7gbr5KZpump,TripleT,0.00006626,2026-02-24T11:33:06.080Z,0.00006622687,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+6.22%,+6.22%,2,momentum gate not live at tick (sampling drift),low,large sample gap prev=20s next=938s
2026-02-24T11:17:07.210Z,YPkpfqP2JcECcRFkoennoQ2e75ancC2MzGEBZdmpump,Volume,0.00002116,2026-02-24T11:32:44.943Z,0.000021149420000000003,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+4.44%,+4.44%,2,momentum gate not live at tick (sampling drift),low,large sample gap prev=20s next=938s
2026-02-24T11:33:04.242Z,6y27p6n9XiD3BTqDbJXcpUUJ96K57wjgwgknitgwpump,GIKO,0.00001099,2026-02-24T12:20:30.535Z,0.00001155,horizon,+5.10%,1.0191,0.01234983,20.0000,0.24236549,+5.88%,+5.88%,2,momentum gate not live at tick (sampling drift),low,large sample gap prev=21s next=940s
2026-02-24T12:04:45.787Z,8jiVXftnn2ZG6bugK7HAH5j2G3D6TpsG521gqsWwpump,AUTISM,0.0006535,2026-02-24T14:10:53.160Z,0.00119152,trailingStop,+82.33%,16.4658,0.19953708,20.0000,0.24236549,+3.03%,+3.03%,2,momentum gate not live at tick (sampling drift),low,large sample gap prev=20s next=943s
2026-02-24T12:20:49.523Z,J8PSdNP3QewKq2Z1JJJFDMaqF7KcaiJhR7gbr5KZpump,TripleT,0.00006712,2026-02-24T12:52:14.231Z,0.00006708644,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+7.48%,+7.48%,2,momentum gate not live at tick (sampling drift),low,large sample gap prev=19s next=925s
2026-02-24T13:07:59.150Z,AGj48tqewsFL8fr7cRuqCQCY26oK89VsSMY7XWk8pump,Bits,0.00005692,2026-02-24T13:23:26.695Z,0.00005689154,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+5.19%,+5.19%,2,momentum gate not live at tick (sampling drift),low,large sample gap prev=20s next=928s
2026-02-24T13:23:47.754Z,84yCF7hyUuRNAra9BjFHVDpnRdGXmfsV2emyZwLjpump,house,0.0003193,2026-02-24T14:26:37.328Z,0.00031914035000000005,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+4.62%,+4.62%,3,momentum gate not live at tick (sampling drift),low,large sample gap prev=20s next=939s
2026-02-24T14:26:55.820Z,H7noGdq7WnvbfdgnZzwYtRdZFCADe5rivUjuiofKpump,RETURN,0.0004099,2026-02-24T15:29:44.941Z,0.0004099,stopAtEntry,+0.00%,0.0000,0.00000000,20.0000,0.24236549,+4.78%,+4.78%,3,momentum gate not live at tick (sampling drift),low,large sample gap prev=20s next=923s
2026-02-24T14:26:56.657Z,6ydMmFRaNt4AHBjgvSogbBvcxnTrX3QzUe2AEzVppump,Pippkin,0.001494,2026-02-24T16:05:57.493Z,0.00180312,trailingStop,+20.69%,4.1382,0.05014727,20.0000,0.24236549,+6.03%,+6.03%,2,momentum gate not live at tick (sampling drift),low,large sample gap prev=20s next=922s
2026-02-24T14:42:41.571Z,J6hFzNZ1yFFtwW4EPVejHJuSfWzpBq5msJfyhL55pump,Go-chan,0.0000138,2026-02-24T15:53:01.825Z,0.000060869600000000004,trailingStop,+341.08%,68.2168,0.82667004,20.0000,0.24236549,+5.10%,+5.10%,2,momentum gate not live at tick (sampling drift),low,large sample gap prev=22s next=940s
2026-02-24T15:30:07.058Z,AGj48tqewsFL8fr7cRuqCQCY26oK89VsSMY7XWk8pump,Bits,0.00005299,2026-02-24T15:45:37.148Z,0.000052963505,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+12.03%,+12.03%,2,momentum gate not live at tick (sampling drift),low,large sample gap prev=21s next=930s
2026-02-24T15:46:10.567Z,BKwSZd5tUFC1SudnHbhjmqJ6Nk8n5vz1wVphb7Mupump,SEAGULL,0.00001884,2026-02-24T15:46:49.918Z,0.00001883058,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+3.29%,+3.29%,3,route/quote unavailable,low,candidate reason=marketData(lowConfidence); no track artifact for mint/day
2026-02-24T15:46:32.084Z,6ydMmFRaNt4AHBjgvSogbBvcxnTrX3QzUe2AEzVppump,Pippkin,0.001686,2026-02-24T15:53:01.825Z,0.001685157,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+3.44%,+3.44%,2,data insufficiency/unknown,medium,candidate reason=marketData(lowConfidence)
2026-02-24T15:46:32.084Z,7CWLxXfjRZ8WP8HVWBSHoti9pVP9FfN5UwZ71JyXpump,Limited,0.0002668,2026-02-24T15:51:15.559Z,0.00026666659999999997,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+4.18%,+4.18%,3,data insufficiency/unknown,medium,candidate reason=marketData(lowConfidence)
